#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
14335_000,3289,ens0042100_001,acisf14335_000N020_b1255_h_ecf90_prep3.fits,3.96E-14,5.90E-15,3.96E-14,3.35E-14,4.64E-14,1.0086
14334_000,3152,ens0042100_001,acisf14334_000N020_b1201_h_ecf90_prep3.fits,3.65E-14,1.50E-14,3.84E-14,2.19E-14,5.64E-14,0.9996
14335_000,801,ens0042100_001,acisf14335_000N020_b0444_h_ecf90_prep3.fits,3.76E-14,5.06E-15,3.80E-14,3.23E-14,4.37E-14,0.9994
14335_000,3135,ens0042100_001,acisf14335_000N020_b1069_h_ecf90_prep3.fits,3.75E-14,6.35E-15,3.80E-14,3.16E-14,4.48E-14,1.0007
15546_000,872,ens0042100_001,acisf15546_000N020_b0485_h_ecf90_prep3.fits,3.68E-14,6.55E-15,3.69E-14,2.93E-14,4.50E-14,0.9992
03744_000,2457,ens0042100_001,acisf03744_000N020_b0974_h_ecf90_prep3.fits,3.69E-14,2.16E-15,3.68E-14,3.45E-14,3.92E-14,1.0038
13637_000,872,ens0042100_001,acisf13637_000N020_b0485_h_ecf90_prep3.fits,3.58E-14,5.09E-15,3.51E-14,3.02E-14,4.10E-14,0.9997
04374_000,3133,ens0042100_001,acisf04374_000N020_b1069_h_ecf90_prep3.fits,3.38E-14,2.34E-15,3.37E-14,3.13E-14,3.61E-14,1
14335_000,2883,ens0042100_001,acisf14335_000N020_b1135_h_ecf90_prep3.fits,3.35E-14,6.05E-15,3.35E-14,2.71E-14,4.05E-14,1.0044
14334_000,3135,ens0042100_001,acisf14334_000N020_b1069_h_ecf90_prep3.fits,3.19E-14,1.08E-14,3.34E-14,2.20E-14,4.55E-14,0.9999
01522_002,782,ens0042100_001,acisf01522_002N020_b0435_h_ecf90_prep3.fits,3.25E-14,4.13E-15,3.31E-14,2.82E-14,3.74E-14,1.0013
14335_000,2657,ens0042100_001,acisf14335_000N020_b1069_h_ecf90_prep3.fits,3.27E-14,4.81E-15,3.26E-14,2.79E-14,3.82E-14,0.9991
14335_000,286,ens0042100_001,acisf14335_000N020_b0200_h_ecf90_prep3.fits,3.26E-14,4.82E-15,3.23E-14,2.74E-14,3.76E-14,1.0007
02065_000,79,ens0017600_001,acisf02065_000N020_b0069_h_ecf90_prep3.fits,1.56E-14,5.18E-14,3.19E-14,1.82E-15,7.40E-14,1.0031
14335_000,1019,ens0042100_001,acisf14335_000N020_b0560_h_ecf90_prep3.fits,3.15E-14,5.10E-15,3.14E-14,2.61E-14,3.70E-14,0.9999
01522_002,872,ens0042100_001,acisf01522_002N020_b0485_h_ecf90_prep3.fits,3.10E-14,3.97E-15,3.10E-14,2.67E-14,3.53E-14,0.9991
14334_000,426,ens0042100_001,acisf14334_000N020_b0277_h_ecf90_prep3.fits,3.08E-14,8.39E-15,3.09E-14,2.29E-14,4.07E-14,0.9991
13637_000,1011,ens0042100_001,acisf13637_000N020_b0553_h_ecf90_prep3.fits,2.90E-14,4.40E-15,2.98E-14,2.45E-14,3.47E-14,1.0012
06419_000,348,ens0042100_001,acisf06419_000N020_b0117_h_ecf90_prep3.fits,2.83E-14,8.68E-15,2.89E-14,1.95E-14,3.85E-14,1.0025
14334_000,872,ens0042100_001,acisf14334_000N020_b0485_h_ecf90_prep3.fits,2.93E-14,7.90E-15,2.87E-14,2.07E-14,3.91E-14,0.9991
04373_000,940,ens0042100_001,acisf04373_000N020_b0512_h_ecf90_prep3.fits,2.36E-14,1.77E-15,2.36E-14,2.17E-14,2.54E-14,1.0007
04444_000,657,ens0002400_001,acisf04444_000N020_b0477_h_ecf90_prep3.fits,1.99E-14,1.39E-14,2.35E-14,1.01E-14,3.66E-14,1
03498_000,3133,ens0042100_001,acisf03498_000N020_b1069_h_ecf90_prep3.fits,2.32E-14,3.07E-15,2.32E-14,2.00E-14,2.64E-14,0.9996
01522_002,801,ens0042100_001,acisf01522_002N020_b0444_h_ecf90_prep3.fits,2.21E-14,3.40E-15,2.23E-14,1.85E-14,2.58E-14,0.9998
04395_000,3152,ens0042100_001,acisf04395_000N020_b1201_h_ecf90_prep3.fits,2.23E-14,2.79E-15,2.23E-14,1.92E-14,2.54E-14,0.9995
14335_000,3152,ens0042100_001,acisf14335_000N020_b1201_h_ecf90_prep3.fits,2.16E-14,5.47E-15,2.18E-14,1.57E-14,2.85E-14,1.0004
06419_000,103,ens0042100_001,acisf06419_000N020_b0086_h_ecf90_prep3.fits,2.09E-14,4.58E-15,2.13E-14,1.64E-14,2.66E-14,0.999
14334_000,3133,ens0042100_001,acisf14334_000N020_b1069_h_ecf90_prep3.fits,1.91E-14,9.87E-15,1.99E-14,1.08E-14,3.17E-14,0.9992
03498_000,872,ens0042100_001,acisf03498_000N020_b0485_h_ecf90_prep3.fits,1.97E-14,2.29E-15,1.96E-14,1.72E-14,2.21E-14,1.0011
08553_000,97,ens0012800_001,acisf08553_000N020_b0086_h_ecf90_prep3.fits,1.09E-14,2.63E-14,1.80E-14,3.37E-15,4.11E-14,1.0009
13637_000,2457,ens0042100_001,acisf13637_000N020_b0974_h_ecf90_prep3.fits,1.73E-14,3.40E-15,1.75E-14,1.39E-14,2.12E-14,1.0017
13637_000,3135,ens0042100_001,acisf13637_000N020_b1069_h_ecf90_prep3.fits,1.64E-14,3.53E-15,1.68E-14,1.32E-14,2.05E-14,1.0013
15546_000,3135,ens0042100_001,acisf15546_000N020_b1069_h_ecf90_prep3.fits,1.70E-14,4.76E-15,1.67E-14,1.22E-14,2.24E-14,1
15546_000,2457,ens0042100_001,acisf15546_000N020_b0974_h_ecf90_prep3.fits,1.57E-14,4.61E-15,1.65E-14,1.12E-14,2.19E-14,0.9995
15546_000,2876,ens0042100_001,acisf15546_000N020_b1133_h_ecf90_prep3.fits,1.73E-14,4.26E-15,1.64E-14,1.22E-14,2.20E-14,1.0068
00954_000,90,ens0008400_001,acisf00954_000N020_b0076_h_ecf90_prep3.fits,0.00E+00,2.33E-17,1.58E-14,2.57E-17,3.51E-14,0.9997
14334_000,2457,ens0042100_001,acisf14334_000N020_b0974_h_ecf90_prep3.fits,1.55E-14,5.63E-15,1.52E-14,9.36E-15,2.28E-14,1.0018
00954_000,254,ens0008400_001,acisf00954_000N020_b0052_h_ecf90_prep3.fits,0.00E+00,1.76E-17,1.51E-14,5.77E-18,3.45E-14,1.0051
03327_000,19,ens0108200_001,acisf03327_000N020_b0014_h_ecf90_prep3.fits,0.00E+00,7.10E-14,1.43E-14,6.44E-18,3.35E-14,1.0012
